audit_order	address	name	research_name	function_end	size	closure_status	target_owner	implementation_mapping	evidence	verification	final_review	remaining
1	0x20C32	sub_20C32	blocking_read_key	0x20C45	19	platform_adapted	input	openlegend::input::LegacyKeyboard;openlegend::app::LegacyGameRuntime::handle_key;src/platform/sdl3/main.cpp	research/evidence/input-time-random-audio-1to1.md	Linux/Windows core/app Debug/Release plus Linux app ASan+UBSan;independent final bidirectional basic-block review	converged_no_new_differences
12	0x3E088	sub_3E088	sample_start_raw_unused	0x3E172	234	platform_adapted	audio	openlegend::audio::LegacyAudioController;openlegend::audio::LegacyAudioPort	research/evidence/input-time-random-audio-1to1.md	Linux/Windows core/app Debug/Release plus Linux app ASan+UBSan;independent final bidirectional basic-block review	converged_no_new_differences
13	0x3E172	sub_3E172	sample_end	0x3E1B2	64	platform_adapted	audio	openlegend::audio::LegacyAudioController;openlegend::audio::LegacyAudioPort	research/evidence/input-time-random-audio-1to1.md	Linux/Windows core/app Debug/Release plus Linux app ASan+UBSan;independent final bidirectional basic-block review	converged_no_new_differences
14	0x3E1B2	sub_3E1B2	music_play_index	0x3E23B	137	platform_adapted	audio	openlegend::audio::LegacyAudioController;openlegend::audio::LegacyAudioPort	research/evidence/input-time-random-audio-1to1.md	Linux/Windows core/app Debug/Release plus Linux app ASan+UBSan;independent final bidirectional basic-block review	converged_no_new_differences
15	0x3E23B	sub_3E23B	music_fade_in	0x3E25B	32	platform_adapted	audio	openlegend::audio::LegacyAudioController;openlegend::audio::LegacyAudioPort	research/evidence/input-time-random-audio-1to1.md	Linux/Windows core/app Debug/Release plus Linux app ASan+UBSan;independent final bidirectional basic-block review	converged_no_new_differences
16	0x3E25B	sub_3E25B	music_fade_out	0x3E288	45	platform_adapted	audio	openlegend::audio::LegacyAudioController;openlegend::audio::LegacyAudioPort	research/evidence/input-time-random-audio-1to1.md	Linux/Windows core/app Debug/Release plus Linux app ASan+UBSan;independent final bidirectional basic-block review	converged_no_new_differences
17	0x3E288	sub_3E288	sample_dispatch_loaded	0x3E2E2	90	platform_adapted	audio	openlegend::audio::LegacyAudioController;openlegend::audio::LegacyAudioPort	research/evidence/input-time-random-audio-1to1.md	Linux/Windows core/app Debug/Release plus Linux app ASan+UBSan;independent final bidirectional basic-block review	converged_no_new_differences
18	0x3E2E2	sub_3E2E2	sample_load_index	0x3E33D	91	platform_adapted	audio	openlegend::audio::LegacyAudioController;openlegend::audio::LegacyAudioPort	research/evidence/input-time-random-audio-1to1.md	Linux/Windows core/app Debug/Release plus Linux app ASan+UBSan;independent final bidirectional basic-block review	converged_no_new_differences
19	0x3D5DE	sub_3D5DE	seed_from_dos_time	0x3D612	52	platform_adapted	random	openlegend::random::LegacyRandom	research/evidence/input-time-random-audio-1to1.md	Linux/Windows core/app Debug/Release plus Linux app ASan+UBSan;independent final bidirectional basic-block review	converged_no_new_differences
20	0x3D612	sub_3D612	rng_bounded	0x3D643	49	assembly_exact	random	openlegend::random::LegacyRandom	research/evidence/input-time-random-audio-1to1.md	Linux/Windows core/app Debug/Release plus Linux app ASan+UBSan;independent final bidirectional basic-block review	converged_no_new_differences
21	0x3F987	sub_3F987	rng_state_address	0x3F98D	6	assembly_exact	random	openlegend::random::LegacyRandom	research/evidence/input-time-random-audio-1to1.md	Linux/Windows core/app Debug/Release plus Linux app ASan+UBSan;independent final bidirectional basic-block review	converged_no_new_differences
22	0x3F98D	sub_3F98D	rng_next	0x3F9B0	35	assembly_exact	random	openlegend::random::LegacyRandom	research/evidence/input-time-random-audio-1to1.md	Linux/Windows core/app Debug/Release plus Linux app ASan+UBSan;independent final bidirectional basic-block review	converged_no_new_differences
23	0x3F9B0	sub_3F9B0	rng_seed	0x3F9C0	16	assembly_exact	random	openlegend::random::LegacyRandom	research/evidence/input-time-random-audio-1to1.md	Linux/Windows core/app Debug/Release plus Linux app ASan+UBSan;independent final bidirectional basic-block review	converged_no_new_differences
24	0x3F9C0	sub_3F9C0	rng_runtime_initialize	0x3FA62	162	platform_adapted	random	openlegend::random::LegacyRandom	research/evidence/input-time-random-audio-1to1.md	Linux/Windows core/app Debug/Release plus Linux app ASan+UBSan;independent final bidirectional basic-block review	converged_no_new_differences
25	0x41232	sub_41232	miles_init_sample	0x41297	101	platform_adapted	audio	openlegend::audio::LegacyAudioPort;openlegend::audio::AudioMixer;openlegend::platform::sdl3::SdlAudioDevice	research/evidence/input-time-random-audio-1to1.md	Linux/Windows core/app Debug/Release plus Linux app ASan+UBSan;independent final bidirectional basic-block review	converged_no_new_differences
26	0x41383	sub_41383	miles_set_sample_data	0x413F8	117	platform_adapted	audio	openlegend::audio::LegacyAudioPort;openlegend::audio::AudioMixer;openlegend::platform::sdl3::SdlAudioDevice	research/evidence/input-time-random-audio-1to1.md	Linux/Windows core/app Debug/Release plus Linux app ASan+UBSan;independent final bidirectional basic-block review	converged_no_new_differences
27	0x413F8	sub_413F8	miles_set_sample_type	0x4146D	117	platform_adapted	audio	openlegend::audio::LegacyAudioPort;openlegend::audio::AudioMixer;openlegend::platform::sdl3::SdlAudioDevice	research/evidence/input-time-random-audio-1to1.md	Linux/Windows core/app Debug/Release plus Linux app ASan+UBSan;independent final bidirectional basic-block review	converged_no_new_differences
28	0x4146D	sub_4146D	miles_start_sample	0x414D2	101	platform_adapted	audio	openlegend::audio::LegacyAudioPort;openlegend::audio::AudioMixer;openlegend::platform::sdl3::SdlAudioDevice	research/evidence/input-time-random-audio-1to1.md	Linux/Windows core/app Debug/Release plus Linux app ASan+UBSan;independent final bidirectional basic-block review	converged_no_new_differences
29	0x4159C	sub_4159C	miles_end_sample	0x41601	101	platform_adapted	audio	openlegend::audio::LegacyAudioPort;openlegend::audio::AudioMixer;openlegend::platform::sdl3::SdlAudioDevice	research/evidence/input-time-random-audio-1to1.md	Linux/Windows core/app Debug/Release plus Linux app ASan+UBSan;independent final bidirectional basic-block review	converged_no_new_differences
30	0x41601	sub_41601	miles_set_sample_rate	0x4166E	109	platform_adapted	audio	openlegend::audio::LegacyAudioPort;openlegend::audio::AudioMixer;openlegend::platform::sdl3::SdlAudioDevice	research/evidence/input-time-random-audio-1to1.md	Linux/Windows core/app Debug/Release plus Linux app ASan+UBSan;independent final bidirectional basic-block review	converged_no_new_differences
31	0x4166E	sub_4166E	miles_set_sample_volume	0x416DB	109	platform_adapted	audio	openlegend::audio::LegacyAudioPort;openlegend::audio::AudioMixer;openlegend::platform::sdl3::SdlAudioDevice	research/evidence/input-time-random-audio-1to1.md	Linux/Windows core/app Debug/Release plus Linux app ASan+UBSan;independent final bidirectional basic-block review	converged_no_new_differences
32	0x41748	sub_41748	miles_set_sample_loop_count	0x417B5	109	platform_adapted	audio	openlegend::audio::LegacyAudioPort;openlegend::audio::AudioMixer;openlegend::platform::sdl3::SdlAudioDevice	research/evidence/input-time-random-audio-1to1.md	Linux/Windows core/app Debug/Release plus Linux app ASan+UBSan;independent final bidirectional basic-block review	converged_no_new_differences
33	0x417B5	sub_417B5	miles_sample_status	0x41891	220	platform_adapted	audio	openlegend::audio::LegacyAudioPort;openlegend::audio::AudioMixer;openlegend::platform::sdl3::SdlAudioDevice	research/evidence/input-time-random-audio-1to1.md	Linux/Windows core/app Debug/Release plus Linux app ASan+UBSan;independent final bidirectional basic-block review	converged_no_new_differences
34	0x42AF2	sub_42AF2	miles_init_sequence	0x42BDE	236	platform_adapted	audio	openlegend::audio::LegacyAudioPort;openlegend::audio::AudioMixer;openlegend::platform::sdl3::SdlAudioDevice	research/evidence/input-time-random-audio-1to1.md	Linux/Windows core/app Debug/Release plus Linux app ASan+UBSan;independent final bidirectional basic-block review	converged_no_new_differences
35	0x42BDE	sub_42BDE	miles_start_sequence	0x42C43	101	platform_adapted	audio	openlegend::audio::LegacyAudioPort;openlegend::audio::AudioMixer;openlegend::platform::sdl3::SdlAudioDevice	research/evidence/input-time-random-audio-1to1.md	Linux/Windows core/app Debug/Release plus Linux app ASan+UBSan;independent final bidirectional basic-block review	converged_no_new_differences
36	0x42D0D	sub_42D0D	miles_stop_sequence	0x42D72	101	platform_adapted	audio	openlegend::audio::LegacyAudioPort;openlegend::audio::AudioMixer;openlegend::platform::sdl3::SdlAudioDevice	research/evidence/input-time-random-audio-1to1.md	Linux/Windows core/app Debug/Release plus Linux app ASan+UBSan;independent final bidirectional basic-block review	converged_no_new_differences
37	0x42DE7	sub_42DE7	miles_fade_sequence	0x42E5C	117	platform_adapted	audio	openlegend::audio::LegacyAudioPort;openlegend::audio::AudioMixer;openlegend::platform::sdl3::SdlAudioDevice	research/evidence/input-time-random-audio-1to1.md	Linux/Windows core/app Debug/Release plus Linux app ASan+UBSan;independent final bidirectional basic-block review	converged_no_new_differences
38	0x42E5C	sub_42E5C	miles_set_sequence_loop_count	0x42EC9	109	platform_adapted	audio	openlegend::audio::LegacyAudioPort;openlegend::audio::AudioMixer;openlegend::platform::sdl3::SdlAudioDevice	research/evidence/input-time-random-audio-1to1.md	Linux/Windows core/app Debug/Release plus Linux app ASan+UBSan;independent final bidirectional basic-block review	converged_no_new_differences
39	0x42EC9	sub_42EC9	miles_sequence_status	0x42FA5	220	platform_adapted	audio	openlegend::audio::LegacyAudioPort;openlegend::audio::AudioMixer;openlegend::platform::sdl3::SdlAudioDevice	research/evidence/input-time-random-audio-1to1.md	Linux/Windows core/app Debug/Release plus Linux app ASan+UBSan;independent final bidirectional basic-block review	converged_no_new_differences
40	0x43239	sub_43239	miles_set_music_master_volume	0x432A6	109	platform_adapted	audio	openlegend::audio::LegacyAudioPort;openlegend::audio::AudioMixer;openlegend::platform::sdl3::SdlAudioDevice	research/evidence/input-time-random-audio-1to1.md	Linux/Windows core/app Debug/Release plus Linux app ASan+UBSan;independent final bidirectional basic-block review	converged_no_new_differences
41	0x47DB8	sub_47DB8	miles_apply_sample_volume	0x48093	731	platform_adapted	audio	openlegend::audio::LegacyAudioPort;openlegend::audio::AudioMixer;openlegend::platform::sdl3::SdlAudioDevice	research/evidence/input-time-random-audio-1to1.md	Linux/Windows core/app Debug/Release plus Linux app ASan+UBSan;independent final bidirectional basic-block review	converged_no_new_differences
42	0x49120	sub_49120	miles_internal_set_sample_volume	0x4913E	30	platform_adapted	audio	openlegend::audio::LegacyAudioPort;openlegend::audio::AudioMixer;openlegend::platform::sdl3::SdlAudioDevice	research/evidence/input-time-random-audio-1to1.md	Linux/Windows core/app Debug/Release plus Linux app ASan+UBSan;independent final bidirectional basic-block review	converged_no_new_differences
